Country.Name,Continent,X1970,X1980,X1990,X2000,X2010,X2015,X2019,X2022.Population,X2020.Population,X2015.Population,X2010.Population,X2000.Population,X1990.Population,X1980.Population,X1970.Population,Area..km...,Density..per.km...,Growth.Rate,World.Population.Percentage
Liberia,Africa,NA,NA,NA,8.74E+08,2.00E+09,3.18E+09,3070518100,5302681,5087584,4612329,4019956,2895224,2209731,1932169,1463563,111369,47.6136,1.021,0.07
Libya,Africa,NA,NA,28901836158,38270206950,74773444901,27842131480,52091152228,6812341,6653942,6192235,6491988,5154790,4236983,2962720,1909177,1759540,3.8717,1.0114,0.09
St. Lucia,North America,NA,170370370.4,579629629.6,932592592.6,1486758037,1808079889,2122450630,179857,179237,175623,170935,159500,142301,121633,103090,616,291.9756,1.0011,0
Liechtenstein,Europe,90098330.67,534701915.6,1421466240,2483953103,5082366478,6268391521,NA,39327,38756,37355,35926,33026,28765,25003,21089,160,245.7937,1.0074,0
Sri Lanka,Asia,2296470588,4024621900,8032551173,16330814180,56725749222,80604080689,84008783756,21832143,21715079,21336697,20668557,18776371,17204094,14943645,12388769,65610,332.7563,1.0027,0.27
Lesotho,Africa,68738625.23,431561376.5,596415104.5,887295267.9,2269525779,2372280103,2376328637,2305825,2254100,2118521,2022747,1998630,1798997,1407672,1023481,30355,75.962,1.0107,0.03
Lithuania,Europe,NA,NA,NA,11524776867,37138464733,41418872976,54627411860,2750055,2820267,2963765,3139019,3599637,3785847,3521206,3210147,65300,42.1142,0.9869,0.03
Luxembourg,Europe,1509155305,6232005794,13229247948,21263514833,53212476812,57744457955,71104919108,647599,630399,569408,507070,435628,381267,363741,339342,2586,250.425,1.0129,0.01
Latvia,Europe,NA,NA,NA,7949253766,23877564356,27239653844,34102913582,1850651,1897052,1991955,2101530,2392530,2689391,2572037,2397414,64559,28.666,0.9876,0.02
"Macao SAR, China",Asia,NA,NA,3220920085,6720492406,28123640999,45361678147,53859116536,695168,676283,615239,557297,431896,350227,245332,247284,30,23172.2667,1.0125,0.01
St. Martin (French part),North America,NA,NA,NA,NA,NA,NA,NA,31791,32552,35020,36458,29610,28127,7776,5802,53,599.8302,0.9951,0
Morocco,Africa,3956328426,21728770055,30180108562,38857251336,93216746662,1.01E+11,1.20E+11,37457971,36688772,34680458,32464865,28554415,24570814,19678444,15274351,446550,83.883,1.0103,0.47
Monaco,Europe,293073868,1378130996,2481316054,2647883816,5367625613,6261622101,NA,36469,36922,36760,33178,32465,30329,27076,24270,2,18234.5,0.9941,0
Moldova,Europe,NA,NA,NA,1288429392,6974960345,7745231660,11968713370,3272996,3084847,3277388,3678186,4251573,4480199,4103240,3711140,33846,96.7026,1.0691,0.04
Madagascar,Africa,1111859570,5201818349,3931334871,4629247091,9982711030,11323023787,14114631281,29611714,28225177,24850912,21731053,16216431,11882762,8948162,6639751,587041,50.4423,1.0241,0.37
Maldives,Asia,NA,42463576.16,215089005.2,624337145.3,2588176055,4109447297,5642179170,523787,514438,435582,361575,282507,224957,164887,123243,300,1745.9567,1.0045,0.01
Mexico,North America,3.55E+10,2.05E+11,2.61E+11,7.08E+11,1.06E+12,1.17E+12,1.27E+12,127504125,125998302,120149897,112532401,97873442,81720428,67705186,50289306,1964375,64.9082,1.0063,1.6
Marshall Islands,Oceania,NA,NA,78476000,115347500,162164700,184599600,NA,41569,43413,49410,53416,54224,46047,31988,23969,181,229.663,0.9886,0
